cells,sample_id,group_id
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B09_S117_comb,Mel79,treatment_naive
CY89NEG_A02_S2_comb,Mel89,treatment_naive
cy78_CD45_neg_3_F12_S744_comb,Mel78,ICB_treated
cy79_p4_CD45_neg_PDL1_pos_G03_S459_comb,Mel79,treatment_naive
Cy80_II_CD45_F11_S935_comb,Mel80,treatment_naive
CY89NEG_E02_S50_comb,Mel89,treatment_naive
cy79_p3_CD45_neg_PDL1_neg_A11_S203_comb,Mel79,treatment_naive
CY89CORE11_F07_S163_comb,Mel89,treatment_naive
cy78_CD45_neg_3_A05_S677_comb,Mel78,ICB_treated
CY89CORE11_A09_S105_comb,Mel89,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H09_S189_comb,Mel79,treatment_naive
cy78_CD45_neg_1_D09_S525_comb,Mel78,ICB_treated
cy79_p5_CD45_neg_PDL1_neg_A12_S780_comb,Mel79,treatment_naive
cy78_CD45_neg_1_D12_S528_comb,Mel78,ICB_treated
cy79_p4_CD45_neg_PDL1_neg_A08_S1064_comb,Mel79,treatment_naive
cy80_CD45_neg_D11_S911_comb,Mel80,treatment_naive
Cy81_Bulk_CD45_E03_S147_comb,Mel81,treatment_naive
CY89NEG_D12_S48_comb,Mel89,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_E01_S1105_comb,Mel79,treatment_naive
cy82_CD45_neg_3_D09_S813_comb,Mel82,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_B03_S1071_comb,Mel79,treatment_naive
CY88_5_C08_S704_comb,Mel88,ICB_treated
cy78_CD45_neg_3_C01_S697_comb,Mel78,ICB_treated
cy79_p5_CD45_neg_PDL1_neg_A11_S779_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B06_S306_comb,Mel79,treatment_naive
CY89CORE11_C08_S128_comb,Mel89,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_D04_S1096_comb,Mel79,treatment_naive
cy80_CD45_neg_E06_S918_comb,Mel80,treatment_naive
Cy80_II_CD45_D04_S904_comb,Mel80,treatment_naive
CY89CORE11_D11_S143_comb,Mel89,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_H03_S759_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C05_S317_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_A07_S775_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_C05_S413_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_D08_S428_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D07_S331_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_H11_S767_comb,Mel79,treatment_naive
cy80_CD45_neg_B04_S880_comb,Mel80,treatment_naive
Cy71_CD45_B12_S504_comb,Mel71,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_A10_S106_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_B10_S1078_comb,Mel79,treatment_naive
cy78_CD45_neg_3_A12_S684_comb,Mel78,ICB_treated
CY88_5_F05_S737_comb,Mel88,ICB_treated
CY88_5_C05_S701_comb,Mel88,ICB_treated
cy53_1_CD45_neg_B07_S307_comb,Mel53,treatment_naive
CY88_3_G11_S659_comb,Mel88,ICB_treated
Cy81_Bulk_CD45_A11_S107_comb,Mel81,treatment_naive
cy79_p3_CD45_neg_PDL1_neg_B03_S207_comb,Mel79,treatment_naive
CY89CORE11_H06_S186_comb,Mel89,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G08_S80_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E04_S52_comb,Mel79,treatment_naive
CY89FNAQ2_F12_S456_comb,Mel89,treatment_naive
cy81_FNA_CD45_neg_F12_S1032_comb,Mel81,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_F02_S1118_comb,Mel79,treatment_naive
cy78_CD45_neg_2_A12_S588_comb,Mel78,ICB_treated
Cy71_CD45_E02_S530_comb,Mel71,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_E11_S347_comb,Mel79,treatment_naive
Cy71_CD45_B03_S495_comb,Mel71,treatment_naive
Cy81_FNA_CD45_C08_S320_comb,Mel81,treatment_naive
CY88_3_D03_S615_comb,Mel88,ICB_treated
cy79_p5_CD45_neg_PDL1_pos_G03_S747_comb,Mel79,treatment_naive
CY89NEG_F04_S64_comb,Mel89,treatment_naive
Cy81_Bulk_CD45_C05_S125_comb,Mel81,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_A12_S396_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_H10_S766_comb,Mel79,treatment_naive
cy80_CD45_neg_D01_S901_comb,Mel80,treatment_naive
CY89NEG_D05_S41_comb,Mel89,treatment_naive
cy80_CD45_neg_C02_S890_comb,Mel80,treatment_naive
CY88_3_D09_S621_comb,Mel88,ICB_treated
cy78_CD45_neg_1_D01_S517_comb,Mel78,ICB_treated
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B04_S16_comb,Mel79,treatment_naive
cy78_CD45_neg_3_B01_S685_comb,Mel78,ICB_treated
cy80_CD45_neg_E10_S922_comb,Mel80,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_H04_S1144_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_C02_S1082_comb,Mel79,treatment_naive
cy78_CD45_neg_1_B11_S503_comb,Mel78,ICB_treated
CY88_3_A07_S583_comb,Mel88,ICB_treated
cy79_p4_CD45_neg_PDL1_pos_C11_S419_comb,Mel79,treatment_naive
CY88_5_C02_S698_comb,Mel88,ICB_treated
cy79_p4_CD45_neg_PDL1_neg_G03_S1131_comb,Mel79,treatment_naive
cy78_CD45_neg_2_B10_S598_comb,Mel78,ICB_treated
Cy71_CD45_F01_S541_comb,Mel71,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_F07_S1123_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_C09_S1089_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_D10_S814_comb,Mel79,treatment_naive
CY89NEG_F08_S68_comb,Mel89,treatment_naive
CY89CORE11_D05_S137_comb,Mel89,treatment_naive
cy78_CD45_neg_1_B06_S498_comb,Mel78,ICB_treated
CY88_3_A02_S578_comb,Mel88,ICB_treated
cy81_Bulk_CD45_neg_G04_S172_comb,Mel81,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_F08_S836_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PDL1_neg_E01_S241_comb,Mel79,treatment_naive
CY89CORE11_A03_S99_comb,Mel89,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D08_S332_comb,Mel79,treatment_naive
cy78_CD45_neg_1_H03_S567_comb,Mel78,ICB_treated
cy79_p4_CD45_neg_PDL1_neg_D11_S1103_comb,Mel79,treatment_naive
Cy71_CD45_G05_S557_comb,Mel71,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_F03_S351_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PDL1_neg_C10_S226_comb,Mel79,treatment_naive
CY89NEG_A07_S7_comb,Mel89,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_F09_S1125_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C05_S125_comb,Mel79,treatment_naive
cy78_CD45_neg_3_E07_S727_comb,Mel78,ICB_treated
cy79_p5_CD45_neg_PDL1_pos_G07_S751_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PDL1_neg_C09_S225_comb,Mel79,treatment_naive
cy78_CD45_neg_1_G12_S564_comb,Mel78,ICB_treated
cy84_Primary_CD45_neg_E05_S1013_comb,Mel84,treatment_naive
cy81_Bulk_CD45_neg_G07_S175_comb,Mel81,treatment_naive
cy79_p3_CD45_neg_PDL1_neg_B09_S213_comb,Mel79,treatment_naive
cy78_CD45_neg_3_H02_S758_comb,Mel78,ICB_treated
cy78_CD45_neg_3_F09_S741_comb,Mel78,ICB_treated
cy79_p3_CD45_neg_PDL1_neg_H02_S278_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_G04_S748_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_B06_S402_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PDL1_neg_C02_S218_comb,Mel79,treatment_naive
Cy81_FNA_CD45_F03_S351_comb,Mel81,treatment_naive
CY89FNAQ2_G05_S461_comb,Mel89,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_F05_S737_comb,Mel79,treatment_naive
cy60_1_cd_45_neg_3_F09_S549_comb,Mel60,ICB_treated
CY88_3_B08_S596_comb,Mel88,ICB_treated
cy79_p4_CD45_neg_PDL1_neg_A11_S1067_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E05_S53_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_E01_S145_comb,Mel79,treatment_naive
CY89NEG_B01_S13_comb,Mel89,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_G06_S1134_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A11_S11_comb,Mel79,treatment_naive
CY88_3_G03_S651_comb,Mel88,ICB_treated
CY89FNAQ2_C06_S414_comb,Mel89,treatment_naive
Cy81_Bulk_CD45_B05_S113_comb,Mel81,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G05_S77_comb,Mel79,treatment_naive
CY88_3_H08_S668_comb,Mel88,ICB_treated
Cy71_CD45_F07_S547_comb,Mel71,treatment_naive
cy80_CD45_neg_C03_S891_comb,Mel80,treatment_naive
CY89CORE11_B08_S116_comb,Mel89,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G11_S83_comb,Mel79,treatment_naive
cy78_CD45_neg_1_A11_S491_comb,Mel78,ICB_treated
cy79_p5_CD45_neg_PDL1_pos_B09_S693_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_G06_S366_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_G01_S361_comb,Mel79,treatment_naive
CY88_5_A05_S677_comb,Mel88,ICB_treated
CY89CORE11_E12_S156_comb,Mel89,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_D05_S809_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F10_S70_comb,Mel79,treatment_naive
Cy80_II_CD45_C02_S890_comb,Mel80,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F02_S62_comb,Mel79,treatment_naive
Cy80_II_CD45_F01_S925_comb,Mel80,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_G12_S1140_comb,Mel79,treatment_naive
CY88_3_B09_S597_comb,Mel88,ICB_treated
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E02_S50_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C12_S132_comb,Mel79,treatment_naive
CY88_5_C01_S697_comb,Mel88,ICB_treated
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A06_S6_comb,Mel79,treatment_naive
CY89FNAQ2_D06_S426_comb,Mel89,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B05_S113_comb,Mel79,treatment_naive
Cy80_II_CD45_E01_S913_comb,Mel80,treatment_naive
CY89NEG_G08_S80_comb,Mel89,treatment_naive
cy53_1_CD45_neg_A12_S300_comb,Mel53,treatment_naive
Cy81_FNA_CD45_B02_S302_comb,Mel81,treatment_naive
cy78_CD45_neg_2_C07_S607_comb,Mel78,ICB_treated
cy60_1_cd_45_neg_1_D11_S239_comb,Mel60,ICB_treated
CY88_3_E02_S626_comb,Mel88,ICB_treated
CY88_3_A12_S588_comb,Mel88,ICB_treated
cy80_CD45_neg_F01_S925_comb,Mel80,treatment_naive
cy81_Bulk_CD45_neg_G06_S174_comb,Mel81,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_G04_S460_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PDL1_neg_B07_S211_comb,Mel79,treatment_naive
CY88_5_G02_S746_comb,Mel88,ICB_treated
cy79_p5_CD45_neg_PDL1_pos_F10_S742_comb,Mel79,treatment_naive
cy80_CD45_neg_D02_S902_comb,Mel80,treatment_naive
CY89CORE11_F10_S166_comb,Mel89,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_B03_S399_comb,Mel79,treatment_naive
cy78_CD45_neg_1_C01_S505_comb,Mel78,ICB_treated
cy80_CD45_neg_B08_S884_comb,Mel80,treatment_naive
cy78_CD45_neg_2_A05_S581_comb,Mel78,ICB_treated
cy79_p5_CD45_neg_PDL1_pos_D09_S717_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PDL1_neg_F03_S255_comb,Mel79,treatment_naive
CY89FNAQ2_G04_S460_comb,Mel89,treatment_naive
cy80_CD45_neg_F08_S932_comb,Mel80,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_A02_S98_comb,Mel79,treatment_naive
Cy81_FNA_CD45_F07_S355_comb,Mel81,treatment_naive
CY88_3_G05_S653_comb,Mel88,ICB_treated
cy81_FNA_CD45_neg_E09_S1017_comb,Mel81,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G09_S177_comb,Mel79,treatment_naive
Cy80_II_CD45_H11_S959_comb,Mel80,treatment_naive
cy78_CD45_neg_1_H05_S569_comb,Mel78,ICB_treated
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D02_S326_comb,Mel79,treatment_naive
Cy81_FNA_CD45_E04_S340_comb,Mel81,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C04_S124_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_C04_S700_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_D09_S429_comb,Mel79,treatment_naive
cy78_CD45_neg_3_E06_S726_comb,Mel78,ICB_treated
cy82_CD45_neg_3_A11_S779_comb,Mel82,treatment_naive
CY89NEG_A10_S10_comb,Mel89,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_H05_S473_comb,Mel79,treatment_naive
Cy81_FNA_CD45_H09_S381_comb,Mel81,treatment_naive
CY88_3_E07_S631_comb,Mel88,ICB_treated
cy80_CD45_neg_E05_S917_comb,Mel80,treatment_naive
Cy80_II_CD45_A01_S865_comb,Mel80,treatment_naive
CY89NEG_A12_S12_comb,Mel89,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B03_S111_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PDL1_neg_G12_S276_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_C06_S414_comb,Mel79,treatment_naive
Cy81_Bulk_CD45_F12_S168_comb,Mel81,treatment_naive
CY88_3_A08_S584_comb,Mel88,ICB_treated
cy81_FNA_CD45_neg_D01_S997_comb,Mel81,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_H09_S765_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_E03_S339_comb,Mel79,treatment_naive
Cy71_CD45_E06_S534_comb,Mel71,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_C08_S1088_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_A09_S777_comb,Mel79,treatment_naive
CY88_3_C06_S606_comb,Mel88,ICB_treated
cy79_p3_CD45_neg_PDL1_neg_C03_S219_comb,Mel79,treatment_naive
cy81_FNA_CD45_neg_D03_S999_comb,Mel81,treatment_naive
cy81_FNA_CD45_neg_E06_S1014_comb,Mel81,treatment_naive
CY88_3_F11_S647_comb,Mel88,ICB_treated
CY89NEG_C10_S34_comb,Mel89,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_B07_S403_comb,Mel79,treatment_naive
cy81_FNA_CD45_neg_C11_S995_comb,Mel81,treatment_naive
CY88_5_A06_S678_comb,Mel88,ICB_treated
cy80_CD45_neg_B03_S879_comb,Mel80,treatment_naive
cy78_CD45_neg_3_C04_S700_comb,Mel78,ICB_treated
CY84_PRIM_POS_ALL_6_D06_S426_comb,Mel84,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_A06_S390_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PDL1_neg_H05_S281_comb,Mel79,treatment_naive
Cy71_CD45_C12_S516_comb,Mel71,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_H05_S1145_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C06_S126_comb,Mel79,treatment_naive
CY88_3_A11_S587_comb,Mel88,ICB_treated
CY88_3_F10_S646_comb,Mel88,ICB_treated
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C09_S129_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_E09_S1113_comb,Mel79,treatment_naive
CY88_3_G12_S660_comb,Mel88,ICB_treated
CY88_5_H04_S760_comb,Mel88,ICB_treated
cy79_p3_CD45_neg_PDL1_neg_H01_S277_comb,Mel79,treatment_naive
CY89NEG_E03_S51_comb,Mel89,treatment_naive
CY88_3_G01_S649_comb,Mel88,ICB_treated
cy81_Bulk_CD45_neg_D01_S133_comb,Mel81,treatment_naive
cy78_CD45_neg_1_C06_S510_comb,Mel78,ICB_treated
Cy71_CD45_A06_S486_comb,Mel71,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_G08_S848_comb,Mel79,treatment_naive
Cy80_II_CD45_E11_S923_comb,Mel80,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_F04_S448_comb,Mel79,treatment_naive
CY88_5_F03_S735_comb,Mel88,ICB_treated
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C12_S324_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_A08_S104_comb,Mel79,treatment_naive
Cy71_CD45_C09_S513_comb,Mel71,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G02_S74_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_D08_S1100_comb,Mel79,treatment_naive
Cy71_CD45_E05_S533_comb,Mel71,treatment_naive
cy84_Primary_CD45_neg_A10_S970_comb,Mel84,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D03_S327_comb,Mel79,treatment_naive
CY84_PRIM_POS_ALL_6_G01_S457_comb,Mel84,treatment_naive
CY88_5_A03_S675_comb,Mel88,ICB_treated
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G07_S175_comb,Mel79,treatment_naive
cy81_Bulk_CD45_neg_B02_S110_comb,Mel81,treatment_naive
cy80_CD45_neg_A06_S870_comb,Mel80,treatment_naive
cy78_CD45_neg_3_G10_S754_comb,Mel78,ICB_treated
cy79_p4_CD45_neg_PDL1_pos_B12_S408_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_G09_S465_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PDL1_neg_C01_S217_comb,Mel79,treatment_naive
Cy71_CD45_H12_S576_comb,Mel71,treatment_naive
cy81_Bulk_CD45_neg_B04_S112_comb,Mel81,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_H11_S863_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B12_S312_comb,Mel79,treatment_naive
cy78_CD45_neg_3_H04_S760_comb,Mel78,ICB_treated
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_G11_S371_comb,Mel79,treatment_naive
CY88_5_F06_S738_comb,Mel88,ICB_treated
CY88_5_H06_S762_comb,Mel88,ICB_treated
cy79_p5_CD45_neg_PDL1_neg_D02_S806_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_B07_S787_comb,Mel79,treatment_naive
Cy80_II_CD45_E08_S920_comb,Mel80,treatment_naive
cy78_CD45_neg_1_D04_S520_comb,Mel78,ICB_treated
cy79_p4_CD45_neg_PDL1_pos_F01_S445_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_F08_S356_comb,Mel79,treatment_naive
Cy81_FNA_CD45_H05_S377_comb,Mel81,treatment_naive
cy81_FNA_CD45_neg_D12_S1008_comb,Mel81,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_A08_S776_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_B12_S1080_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_G02_S1130_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_C05_S701_comb,Mel79,treatment_naive
Cy81_FNA_CD45_D12_S336_comb,Mel81,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_G03_S363_comb,Mel79,treatment_naive
cy81_FNA_CD45_neg_E08_S1016_comb,Mel81,treatment_naive
cy81_Bulk_CD45_neg_A07_S103_comb,Mel81,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_E01_S721_comb,Mel79,treatment_naive
CY88_3_F09_S645_comb,Mel88,ICB_treated
cy78_CD45_neg_3_A11_S683_comb,Mel78,ICB_treated
cy94_cd45neg_cd90pos_D01_S325_comb,Mel94,ICB_treated
cy81_Bulk_CD45_neg_H07_S187_comb,Mel81,treatment_naive
CY88_5_A12_S684_comb,Mel88,ICB_treated
cy79_p4_CD45_neg_PDL1_neg_A10_S1066_comb,Mel79,treatment_naive
cy78_CD45_neg_2_B05_S593_comb,Mel78,ICB_treated
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F08_S164_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H04_S184_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_G10_S466_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C09_S321_comb,Mel79,treatment_naive
Cy71_CD45_A07_S487_comb,Mel71,treatment_naive
Cy71_CD45_G11_S563_comb,Mel71,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_F10_S454_comb,Mel79,treatment_naive
CY88_3_G10_S658_comb,Mel88,ICB_treated
cy81_FNA_CD45_neg_E01_S1009_comb,Mel81,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C03_S123_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_G06_S750_comb,Mel79,treatment_naive
cy81_FNA_CD45_neg_F01_S1021_comb,Mel81,treatment_naive
CY88_3_D11_S623_comb,Mel88,ICB_treated
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F12_S168_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_C02_S698_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_A02_S1058_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_D07_S715_comb,Mel79,treatment_naive
cy81_FNA_CD45_neg_H02_S1046_comb,Mel81,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B01_S109_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D08_S140_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D10_S142_comb,Mel79,treatment_naive
cy81_FNA_CD45_neg_B03_S975_comb,Mel81,treatment_naive
cy81_Bulk_CD45_neg_H02_S182_comb,Mel81,treatment_naive
cy80_CD45_neg_A10_S874_comb,Mel80,treatment_naive
CY88_3_H04_S664_comb,Mel88,ICB_treated
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B06_S114_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_E04_S820_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_G10_S370_comb,Mel79,treatment_naive
cy78_CD45_neg_3_B10_S694_comb,Mel78,ICB_treated
cy53_1_CD45_neg_F07_S355_comb,Mel53,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B06_S18_comb,Mel79,treatment_naive
Cy81_Bulk_CD45_F05_S161_comb,Mel81,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C08_S320_comb,Mel79,treatment_naive
CY88_5_B02_S686_comb,Mel88,ICB_treated
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_F09_S357_comb,Mel79,treatment_naive
cy60_1_cd_45_neg_1_C08_S224_comb,Mel60,ICB_treated
cy78_CD45_neg_3_G08_S752_comb,Mel78,ICB_treated
cy81_FNA_CD45_neg_E10_S1018_comb,Mel81,treatment_naive
cy78_CD45_neg_1_C05_S509_comb,Mel78,ICB_treated
cy79_p4_CD45_neg_PDL1_pos_G02_S458_comb,Mel79,treatment_naive
Cy81_Bulk_CD45_D08_S140_comb,Mel81,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G12_S84_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_E12_S348_comb,Mel79,treatment_naive
cy78_CD45_neg_3_D11_S719_comb,Mel78,ICB_treated
CY88_3_F06_S642_comb,Mel88,ICB_treated
cy79_p5_CD45_neg_PDL1_pos_B08_S692_comb,Mel79,treatment_naive
Cy81_FNA_CD45_B04_S304_comb,Mel81,treatment_naive
cy78_CD45_neg_3_B05_S689_comb,Mel78,ICB_treated
CY88_3_D05_S617_comb,Mel88,ICB_treated
Cy80_II_CD45_H12_S960_comb,Mel80,treatment_naive
CY88_5_A07_S679_comb,Mel88,ICB_treated
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D07_S43_comb,Mel79,treatment_naive
cy78_CD45_neg_3_G03_S747_comb,Mel78,ICB_treated
cy81_FNA_CD45_neg_H10_S1054_comb,Mel81,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_H07_S1147_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C10_S322_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_F03_S735_comb,Mel79,treatment_naive
CY88_5_A09_S681_comb,Mel88,ICB_treated
cy79_p5_CD45_neg_PDL1_pos_B12_S696_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D11_S47_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H06_S378_comb,Mel79,treatment_naive
Cy81_FNA_CD45_H01_S373_comb,Mel81,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_D08_S812_comb,Mel79,treatment_naive
cy81_FNA_CD45_neg_H11_S1055_comb,Mel81,treatment_naive
cy84_Primary_CD45_neg_H02_S1046_comb,Mel84,treatment_naive
Cy71_CD45_C07_S511_comb,Mel71,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G01_S169_comb,Mel79,treatment_naive
Cy81_Bulk_CD45_A12_S108_comb,Mel81,treatment_naive
CY88_3_A05_S581_comb,Mel88,ICB_treated
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_A09_S105_comb,Mel79,treatment_naive
Cy80_II_CD45_A06_S870_comb,Mel80,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_F04_S1120_comb,Mel79,treatment_naive
CY88_3_E08_S632_comb,Mel88,ICB_treated
