,beanie_pval,direction,robust,excluded_BRCA_4,excluded_BRCA_38,excluded_BRCA_14,excluded_BRCA_32,excluded_BRCA_22,excluded_BRCA_19,excluded_BRCA_9,excluded_BRCA_23,excluded_BRCA_6,excluded_BRCA_7
ONCOGENIC_KRAS.600_UP.V1_UP,0.09925,ER+,False,0.4444444444444445,0.5555555555555556,1.0,0.22222222222222224,0.7777777777777779,4.888888888888889,2.4444444444444446,1.1111111111111112,0.0,2.1111111111111107
ONCOGENIC_KRAS.AMP.LUNG_UP.V1_DN,0.1456,ER+,False,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0
ONCOGENIC_KRAS.AMP.LUNG_UP.V1_UP,0.5377,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.BREAST_UP.V1_DN,0.31516,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.BREAST_UP.V1_UP,0.9118200000000001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.DF.V1_DN,0.17722000000000002,ER+,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.DF.V1_UP,0.06271,ER+,False,1.2916666666666667,1.9583333333333333,0.625,0.5833333333333334,0.6666666666666667,3.291666666666667,1.2916666666666667,0.04166666666666667,0.625,3.0
ONCOGENIC_KRAS.KIDNEY_UP.V1_DN,0.91228,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.KIDNEY_UP.V1_UP,0.001,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.LUNG.BREAST_UP.V1_DN,0.011859999999999999,ER+,True,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.99,1.0
ONCOGENIC_KRAS.LUNG.BREAST_UP.V1_UP,0.4377,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.LUNG_UP.V1_DN,0.10488,ER+,False,0.0,16.0,7.5,0.0,11.0,15.5,1.5,0.0,2.0,3.5000000000000004
ONCOGENIC_KRAS.LUNG_UP.V1_UP,0.9165200000000001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.PROSTATE_UP.V1_DN,0.19144,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.PROSTATE_UP.V1_UP,0.73374,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_LEF1_UP.V1_DN,0.0,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_LEF1_UP.V1_UP,0.47953,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_LTE2_UP.V1_DN,0.0,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_LTE2_UP.V1_UP,0.03476,ER+,False,0.8111111111111111,0.9666666666666668,0.6888888888888889,0.8222222222222222,1.022222222222222,0.9333333333333332,1.0666666666666669,0.5111111111111111,0.9777777777777776,0.6777777777777777
ONCOGENIC_MEK_UP.V1_DN,0.0,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_MEK_UP.V1_UP,0.30136,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_MEL18_DN.V1_DN,0.001,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_MEL18_DN.V1_UP,0.31592,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_MTOR_UP.N4.V1_DN,0.00018,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_MTOR_UP.N4.V1_UP,0.8117300000000001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_MTOR_UP.V1_DN,0.38616,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_MTOR_UP.V1_UP,0.52664,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_MYC_UP.V1_DN,0.06886,ER+,False,0.6666666666666667,4.066666666666666,1.6,1.4666666666666668,1.3333333333333337,5.933333333333334,0.7333333333333334,1.0,0.8666666666666667,2.9333333333333336
ONCOGENIC_MYC_UP.V1_UP,0.75038,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_NFE2L2.V2,0.94994,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_NOTCH_DN.V1_DN,0.018680000000000002,ER+,True,1.0,0.98,0.99,1.0,1.0,1.0,1.0,0.99,0.93,1.0
ONCOGENIC_NOTCH_DN.V1_UP,0.68576,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_NRL_DN.V1_DN,0.38929,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_NRL_DN.V1_UP,0.73338,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_P53_DN.V1_DN,0.06725,ER+,False,6.090909090909091,6.0,1.0909090909090908,1.181818181818182,1.181818181818182,7.7272727272727275,8.818181818181818,0.3636363636363637,0.0,8.090909090909092
ONCOGENIC_P53_DN.V1_UP,0.06014,ER+,False,2.3157894736842106,4.052631578947368,2.0526315789473686,0.631578947368421,3.421052631578948,5.2631578947368425,0.05263157894736842,1.0526315789473684,1.3157894736842106,1.2105263157894737
ONCOGENIC_P53_DN.V2_DN,0.80766,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_P53_DN.V2_UP,0.83139,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PDGF_ERK_DN.V1_DN,0.22534,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PDGF_ERK_DN.V1_UP,0.27784000000000003,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PDGF_UP.V1_DN,0.86556,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PDGF_UP.V1_UP,0.9772700000000001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PIGF_UP.V1_DN,0.30673,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PIGF_UP.V1_UP,0.09642,ER+,False,11.0,18.0,0.0,11.0,24.0,2.0,0.0,2.0,0.5,11.5
ONCOGENIC_PKCA_DN.V1_DN,0.63463,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PKCA_DN.V1_UP,0.10393,ER+,False,0.6,1.2,2.0,0.2,1.0,1.7999999999999998,1.0,0.2,0.4,2.2
ONCOGENIC_PRC1_BMI_UP.V1_DN,0.43536,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PRC1_BMI_UP.V1_UP,0.0215,ER+,False,1.020408163265306,1.0,0.836734693877551,1.020408163265306,1.020408163265306,1.020408163265306,1.020408163265306,0.8469387755102041,0.9897959183673468,0.979591836734694
ONCOGENIC_PRC2_EED_UP.V1_DN,0.17074,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PRC2_EED_UP.V1_UP,0.12538,ER+,False,0.0,0.0,0.0,0.0,0.75,1.7500000000000002,1.25,0.0,0.25,3.5000000000000004
ONCOGENIC_PRC2_EZH2_UP.V1_DN,0.31916,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PRC2_EZH2_UP.V1_UP,0.028839999999999998,ER+,True,0.9175257731958764,1.0309278350515465,1.0206185567010309,1.0103092783505154,1.0,1.0309278350515465,1.0309278350515465,0.9896907216494846,0.9072164948453608,1.0206185567010309
ONCOGENIC_PRC2_SUZ12_UP.V1_DN,0.66504,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PRC2_SUZ12_UP.V1_UP,0.0,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PTEN_DN.V1_DN,0.05992000000000001,TNBC,False,2.266666666666667,3.4000000000000004,4.266666666666667,2.066666666666667,3.8,0.6,0.7333333333333334,3.2,0.0,2.8
ONCOGENIC_PTEN_DN.V1_UP,0.53727,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PTEN_DN.V2_DN,0.9429299999999999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PTEN_DN.V2_UP,0.00542,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RAF_UP.V1_DN,0.0,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RAF_UP.V1_UP,0.2296,ER+,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_RAPA_EARLY_UP.V1_DN,0.90133,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RAPA_EARLY_UP.V1_UP,0.12334,ER+,False,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
ONCOGENIC_RB_DN.V1_DN,0.6530100000000001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RB_DN.V1_UP,0.5978399999999999,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RB_P107_DN.V1_DN,0.9211799999999999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RB_P107_DN.V1_UP,0.08252000000000001,TNBC,False,0.04166666666666667,0.33333333333333337,0.0,1.0833333333333337,0.8333333333333334,0.375,0.375,3.125,2.0,0.75
ONCOGENIC_RB_P130_DN.V1_DN,0.15703,ER+,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RB_P130_DN.V1_UP,0.60359,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RELA_DN.V1_DN,0.37185999999999997,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RELA_DN.V1_UP,0.01314,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0
ONCOGENIC_RPS14_DN.V1_DN,0.59712,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RPS14_DN.V1_UP,0.5027,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_SINGH_KRAS_DEPENDENCY_SIGNATURE,0.62395,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_SIRNA_EIF4GI_DN,0.44572,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_SIRNA_EIF4GI_UP,0.8254600000000001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_SNF5_DN.V1_DN,0.87374,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_SNF5_DN.V1_UP,0.02891,TNBC,False,1.0,0.9278350515463918,0.9072164948453608,1.0206185567010309,1.0206185567010309,0.6597938144329897,0.9587628865979382,1.0309278350515465,1.0206185567010309,0.7216494845360825
ONCOGENIC_SRC_UP.V1_DN,0.452,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_SRC_UP.V1_UP,0.32261999999999996,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_STK33_DN,0.03392,ER+,False,0.12820512820512822,0.28205128205128205,0.28205128205128205,1.0,0.8846153846153845,1.0769230769230769,1.2307692307692306,0.30769230769230765,1.0897435897435896,0.2692307692307692
ONCOGENIC_STK33_NOMO_DN,0.00106,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_STK33_NOMO_UP,0.02205,ER+,False,0.9318181818181818,1.1022727272727273,0.7159090909090909,1.0,1.1363636363636365,1.1363636363636365,1.1363636363636365,0.5795454545454546,0.5681818181818182,1.125
ONCOGENIC_STK33_SKM_DN,0.10228,ER+,False,0.0,0.6666666666666667,0.0,8.666666666666668,3.0,6.333333333333334,2.333333333333333,0.0,1.0,0.0
ONCOGENIC_STK33_SKM_UP,0.01732,ER+,False,0.8795180722891567,1.1686746987951808,0.6987951807228916,1.2048192771084338,1.2048192771084338,1.1807228915662649,1.1686746987951808,0.6506024096385543,0.21686746987951808,1.1927710843373494
ONCOGENIC_STK33_UP,0.00487,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0
ONCOGENIC_TBK1.DF_DN,0.2179,ER+,False,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_TBK1.DF_UP,0.12725999999999998,ER+,False,1.0,34.0,0.0,0.0,2.0,10.0,3.0,0.0,0.0,9.0
ONCOGENIC_TBK1.DN.48HRS_DN,0.7435,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_TBK1.DN.48HRS_UP,0.45105,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_TGFB_UP.V1_DN,0.0,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_TGFB_UP.V1_UP,0.12607000000000002,ER+,False,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
ONCOGENIC_VEGF_A_UP.V1_DN,0.99103,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_VEGF_A_UP.V1_UP,0.70377,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_WNT_UP.V1_DN,0.00628,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_WNT_UP.V1_UP,0.2656,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_YAP1_DN,0.13022999999999998,ER+,False,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_YAP1_UP,0.86734,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
