,beanie_pval,direction,robust,excluded_LUAD_3,excluded_LUAD_0,excluded_LUAD_4,excluded_LUAD_10,excluded_LUAD_5,excluded_LUAD_1,excluded_LUAD_13,excluded_LUAD_6,excluded_LUAD_2
ONCOGENIC_MYC_UP.V1_UP,0.6230600000000001,late_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_NFE2L2.V2,0.034960000000000005,early_stage,False,0.0,1.2195121951219512,0.7073170731707317,0.9146341463414634,1.024390243902439,0.6341463414634146,1.0975609756097562,1.0487804878048779,0.9634146341463417
ONCOGENIC_NOTCH_DN.V1_DN,0.4539,early_stage,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ONCOGENIC_NOTCH_DN.V1_UP,0.6107199999999999,early_stage,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_NRL_DN.V1_DN,0.6604899999999999,early_stage,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_NRL_DN.V1_UP,0.10051,late_stage,False,2.4615384615384617,0.0,2.3846153846153846,5.230769230769232,2.3076923076923075,3.7692307692307687,0.5384615384615385,0.15384615384615385,0.07692307692307693
ONCOGENIC_P53_DN.V1_DN,0.10684,early_stage,False,0.0,2.152173913043478,0.0,0.0,0.10869565217391304,0.0,0.6304347826086956,1.173913043478261,1.891304347826087
ONCOGENIC_P53_DN.V1_UP,0.54937,early_stage,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_P53_DN.V2_DN,0.61757,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_P53_DN.V2_UP,0.5821,early_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ONCOGENIC_PDGF_ERK_DN.V1_DN,0.60722,late_stage,False,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
ONCOGENIC_PDGF_ERK_DN.V1_UP,0.41123999999999994,early_stage,False,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
ONCOGENIC_PDGF_UP.V1_DN,0.63468,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PDGF_UP.V1_UP,0.19648,early_stage,False,2.666666666666667,0.0,0.4166666666666667,0.0,0.5833333333333334,0.0,0.08333333333333334,0.25,1.3333333333333337
ONCOGENIC_PIGF_UP.V1_DN,0.39405999999999997,late_stage,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PIGF_UP.V1_UP,0.41113,early_stage,False,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_PKCA_DN.V1_DN,0.76093,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PKCA_DN.V1_UP,0.9093,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PRC1_BMI_UP.V1_DN,0.9405600000000001,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PRC1_BMI_UP.V1_UP,0.5953,late_stage,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PRC2_EED_UP.V1_DN,0.0887,late_stage,False,4.65,0.0,1.4499999999999995,1.3,0.95,1.3,1.65,1.0,0.8999999999999999
ONCOGENIC_PRC2_EED_UP.V1_UP,0.75044,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PRC2_EZH2_UP.V1_DN,0.963,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PRC2_EZH2_UP.V1_UP,0.56266,early_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_PRC2_SUZ12_UP.V1_DN,0.87708,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PRC2_SUZ12_UP.V1_UP,0.65041,early_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PTEN_DN.V1_DN,0.03576,early_stage,False,0.0,1.4084507042253522,0.3802816901408451,0.8028169014084506,1.2676056338028172,0.4929577464788733,0.9295774647887324,1.0985915492957747,0.619718309859155
ONCOGENIC_PTEN_DN.V1_UP,0.6495,early_stage,False,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_PTEN_DN.V2_DN,0.74834,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PTEN_DN.V2_UP,0.49556999999999995,late_stage,False,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RAF_UP.V1_DN,0.24425999999999998,early_stage,False,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.000000000000001,16.5
ONCOGENIC_RAF_UP.V1_UP,0.55356,early_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ONCOGENIC_RAPA_EARLY_UP.V1_DN,0.9247299999999999,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RAPA_EARLY_UP.V1_UP,0.8809,early_stage,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RB_DN.V1_DN,0.17855,early_stage,False,0.0,6.0,0.0,0.0,0.0,0.0,0.6666666666666667,1.0,10.666666666666668
ONCOGENIC_RB_DN.V1_UP,0.93211,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RB_P107_DN.V1_DN,0.76994,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RB_P107_DN.V1_UP,0.14937999999999999,early_stage,False,5.0588235294117645,0.0,0.05882352941176471,0.05882352941176471,1.2352941176470589,0.411764705882353,0.411764705882353,0.5882352941176471,2.7647058823529407
ONCOGENIC_RB_P130_DN.V1_DN,0.02875,early_stage,False,0.38666666666666666,0.44,1.106666666666667,0.6666666666666666,1.28,1.1333333333333333,0.32,0.3466666666666667,0.9733333333333332
ONCOGENIC_RB_P130_DN.V1_UP,0.80192,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RELA_DN.V1_DN,0.7271,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RELA_DN.V1_UP,0.035,early_stage,False,0.3510638297872341,0.9255319148936172,0.06382978723404255,0.10638297872340427,0.4361702127659575,0.14893617021276598,1.0106382978723405,1.0638297872340423,1.0638297872340423
ONCOGENIC_RPS14_DN.V1_DN,0.8366,early_stage,False,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_RPS14_DN.V1_UP,0.14843,early_stage,False,0.0,0.9411764705882352,0.0,0.0,0.0,0.0,3.0,2.9411764705882346,4.647058823529411
ONCOGENIC_SINGH_KRAS_DEPENDENCY_SIGNATURE,0.8554200000000001,early_stage,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_SIRNA_EIF4GI_DN,0.5192,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_SIRNA_EIF4GI_UP,0.18784,early_stage,False,5.666666666666668,0.0,1.3333333333333337,3.0,1.3333333333333337,0.6666666666666667,0.33333333333333337,0.0,0.6666666666666667
ONCOGENIC_SNF5_DN.V1_DN,0.3847,early_stage,False,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
ONCOGENIC_SNF5_DN.V1_UP,0.00025,early_stage,False,1.0,0.63,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_SRC_UP.V1_DN,0.3903,early_stage,False,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_SRC_UP.V1_UP,0.7471300000000001,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_STK33_DN,0.48148,late_stage,False,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
ONCOGENIC_STK33_NOMO_DN,0.28981999999999997,late_stage,False,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ONCOGENIC_STK33_NOMO_UP,0.18037999999999998,early_stage,False,0.0,3.7037037037037033,0.0,0.0,0.0,0.0,1.296296296296296,2.148148148148148,3.148148148148148
ONCOGENIC_STK33_SKM_DN,0.11026,late_stage,False,4.352941176470588,0.0,2.5294117647058822,1.4117647058823528,3.4117647058823524,3.117647058823529,0.1764705882352941,0.6470588235294117,0.29411764705882354
ONCOGENIC_STK33_SKM_UP,0.00358,early_stage,False,0.31,1.0,0.56,0.71,0.98,0.88,1.0,1.0,1.0
ONCOGENIC_STK33_UP,0.02394,early_stage,False,0.0,1.0309278350515465,0.08247422680412371,0.13402061855670105,0.7216494845360825,0.15463917525773194,0.9793814432989691,1.0206185567010309,1.0309278350515465
ONCOGENIC_TBK1.DF_DN,0.65728,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_TBK1.DF_UP,0.36322,late_stage,False,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_TBK1.DN.48HRS_DN,0.68986,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_TBK1.DN.48HRS_UP,0.86255,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_TGFB_UP.V1_DN,0.07526000000000001,late_stage,False,0.7692307692307693,0.0,1.4615384615384617,2.9615384615384617,1.2307692307692308,2.8846153846153846,0.7692307692307693,0.8076923076923076,0.2692307692307693
ONCOGENIC_TGFB_UP.V1_UP,0.94744,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_VEGF_A_UP.V1_DN,0.1414,early_stage,False,0.5,0.0,4.25,1.7500000000000002,12.25,1.7500000000000002,0.0,0.0,2.0
ONCOGENIC_VEGF_A_UP.V1_UP,0.8654200000000001,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_WNT_UP.V1_DN,0.0047,early_stage,False,0.88,0.99,0.58,0.72,1.0,0.79,1.0,0.99,1.0
ONCOGENIC_WNT_UP.V1_UP,0.57038,late_stage,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_YAP1_DN,0.07188,late_stage,False,0.08823529411764705,0.4411764705882352,0.8823529411764705,0.6764705882352939,0.5,1.1176470588235294,1.0294117647058822,1.1176470588235294,1.3235294117647058
ONCOGENIC_YAP1_UP,0.4415,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
