,beanie_pval,direction,robust,excluded_LUAD_9,excluded_LUAD_3,excluded_LUAD_0,excluded_LUAD_4,excluded_LUAD_10,excluded_LUAD_5,excluded_LUAD_19,excluded_LUAD_1,excluded_LUAD_15,excluded_LUAD_13,excluded_LUAD_6,excluded_LUAD_2
ONCOGENIC_KRAS.PROSTATE_UP.V1_UP,0.97819,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_LEF1_UP.V1_DN,0.45461999999999997,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_LEF1_UP.V1_UP,0.5006,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_LTE2_UP.V1_DN,0.6782199999999999,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_LTE2_UP.V1_UP,0.6885399999999999,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_MEK_UP.V1_DN,0.5394800000000001,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_MEK_UP.V1_UP,0.97314,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_MEL18_DN.V1_DN,0.5692,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_MEL18_DN.V1_UP,0.802,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_MTOR_UP.N4.V1_DN,0.2613,late_stage,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_MTOR_UP.N4.V1_UP,0.7763800000000001,late_stage,False,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_MTOR_UP.V1_DN,0.0563,late_stage,False,1.0263157894736843,0.2368421052631579,0.02631578947368421,1.1842105263157894,2.0,0.7894736842105263,1.0789473684210529,2.1052631578947367,0.5,0.07894736842105263,0.05263157894736842,0.0
ONCOGENIC_MTOR_UP.V1_UP,0.035210000000000005,early_stage,False,1.0666666666666669,0.0,1.1111111111111112,0.5333333333333333,0.8777777777777778,1.022222222222222,1.1111111111111112,0.6777777777777777,0.16666666666666666,0.11111111111111112,0.3888888888888888,1.1111111111111112
ONCOGENIC_MYC_UP.V1_DN,0.08589,late_stage,False,0.0,7.6923076923076925,0.0,2.1538461538461537,6.6923076923076925,0.7692307692307693,0.23076923076923075,2.5384615384615383,0.4615384615384615,0.0,0.0,0.0
ONCOGENIC_MYC_UP.V1_UP,0.5405399999999999,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_NFE2L2.V2,0.03582,early_stage,False,0.12820512820512822,0.0,1.282051282051282,0.7692307692307692,1.1153846153846154,0.8846153846153845,1.2692307692307692,0.923076923076923,0.038461538461538464,1.2435897435897436,1.0128205128205128,0.3974358974358974
ONCOGENIC_NOTCH_DN.V1_DN,0.27710999999999997,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
ONCOGENIC_NOTCH_DN.V1_UP,0.09266,early_stage,False,8.909090909090908,0.0,2.363636363636364,0.3636363636363637,0.4545454545454546,0.9090909090909092,0.3636363636363637,0.0,0.09090909090909093,6.909090909090909,7.454545454545454,0.4545454545454546
ONCOGENIC_NRL_DN.V1_DN,0.73158,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_NRL_DN.V1_UP,0.15735,late_stage,False,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
ONCOGENIC_P53_DN.V1_DN,0.26552,early_stage,False,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_P53_DN.V1_UP,0.07015,late_stage,False,0.0,0.07142857142857142,5.285714285714286,5.571428571428571,6.999999999999999,0.0,1.2142857142857142,0.7857142857142857,5.642857142857142,0.0,0.0,0.0
ONCOGENIC_P53_DN.V2_DN,0.31961999999999996,late_stage,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_P53_DN.V2_UP,0.5948,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PDGF_ERK_DN.V1_DN,0.8234,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PDGF_ERK_DN.V1_UP,0.6711600000000001,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PDGF_UP.V1_DN,0.79414,late_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PDGF_UP.V1_UP,0.46091000000000004,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PIGF_UP.V1_DN,0.68476,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PIGF_UP.V1_UP,0.253,late_stage,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ONCOGENIC_PKCA_DN.V1_DN,0.6248100000000001,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PKCA_DN.V1_UP,0.67089,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PRC1_BMI_UP.V1_DN,0.92251,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PRC1_BMI_UP.V1_UP,0.73488,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PRC2_EED_UP.V1_DN,0.39441,late_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PRC2_EED_UP.V1_UP,0.6754399999999999,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PRC2_EZH2_UP.V1_DN,0.8523799999999999,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PRC2_EZH2_UP.V1_UP,0.7389399999999999,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PRC2_SUZ12_UP.V1_DN,0.64249,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PRC2_SUZ12_UP.V1_UP,0.7834,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PTEN_DN.V1_DN,0.43676000000000004,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PTEN_DN.V1_UP,0.38598000000000005,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PTEN_DN.V2_DN,0.55014,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PTEN_DN.V2_UP,0.43953000000000003,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RAF_UP.V1_DN,0.46143,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RAF_UP.V1_UP,0.40912,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RAPA_EARLY_UP.V1_DN,0.4435,early_stage,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_RAPA_EARLY_UP.V1_UP,0.9096,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RB_DN.V1_DN,0.35474,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RB_DN.V1_UP,0.39629000000000003,early_stage,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_RB_P107_DN.V1_DN,0.08002000000000001,late_stage,False,0.3870967741935484,3.0,0.0,0.7741935483870968,1.3870967741935485,1.4193548387096775,0.3870967741935484,0.5483870967741936,1.4193548387096775,1.5806451612903225,1.7096774193548387,0.06451612903225806
ONCOGENIC_RB_P107_DN.V1_UP,0.73237,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RB_P130_DN.V1_DN,0.9764,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RB_P130_DN.V1_UP,0.49168,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RELA_DN.V1_DN,0.30099000000000004,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ONCOGENIC_RELA_DN.V1_UP,0.25154,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
ONCOGENIC_RPS14_DN.V1_DN,0.21848,late_stage,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
ONCOGENIC_RPS14_DN.V1_UP,0.88434,late_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_SINGH_KRAS_DEPENDENCY_SIGNATURE,0.80423,early_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_SIRNA_EIF4GI_DN,0.03468,late_stage,False,0.6979166666666667,0.5,0.6041666666666666,1.0104166666666667,0.8125000000000001,0.8854166666666666,0.7604166666666666,0.75,0.6875000000000001,0.96875,0.9479166666666669,0.3541666666666667
ONCOGENIC_SIRNA_EIF4GI_UP,0.9556399999999999,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_SNF5_DN.V1_DN,0.61434,late_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_SNF5_DN.V1_UP,0.30434,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_SRC_UP.V1_DN,0.94026,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_SRC_UP.V1_UP,0.659,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_STK33_DN,0.24698,late_stage,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_STK33_NOMO_DN,0.35352,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_STK33_NOMO_UP,0.95488,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_STK33_SKM_DN,0.5338,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_STK33_SKM_UP,0.73636,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_STK33_UP,0.8419399999999999,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_TBK1.DF_DN,0.5787399999999999,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_TBK1.DF_UP,0.20959,late_stage,False,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_TBK1.DN.48HRS_DN,0.6965,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_TBK1.DN.48HRS_UP,0.9987799999999999,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_TGFB_UP.V1_DN,0.26406,late_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_TGFB_UP.V1_UP,0.73305,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_VEGF_A_UP.V1_DN,0.89896,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_VEGF_A_UP.V1_UP,0.8424299999999999,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_WNT_UP.V1_DN,0.54123,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_WNT_UP.V1_UP,0.7814,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_YAP1_DN,0.13965,late_stage,False,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ONCOGENIC_YAP1_UP,0.09938,late_stage,False,0.0,1.25,0.0,0.5,1.0,1.125,3.5000000000000004,0.8750000000000001,3.625,1.375,0.125,0.0
