,beanie_pval,direction,robust,excluded_BRCA_39,excluded_BRCA_28,excluded_BRCA_11,excluded_BRCA_12,excluded_BRCA_21,excluded_BRCA_17,excluded_BRCA_36,excluded_BRCA_1,excluded_BRCA_15,excluded_BRCA_0,excluded_BRCA_50,excluded_BRCA_30,excluded_BRCA_16
ONCOGENIC_GLI1_UP.V1_UP,0.67438,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_HINATA_NFKB_IMMU_INF,0.9836,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_HINATA_NFKB_MATRIX,0.9869,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_HOXA9_DN.V1_DN,4e-05,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_HOXA9_DN.V1_UP,0.95824,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_IL15_UP.V1_DN,0.15953,ER+,False,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
ONCOGENIC_IL15_UP.V1_UP,0.81738,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_IL21_UP.V1_DN,0.26396,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
ONCOGENIC_IL21_UP.V1_UP,0.98734,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_IL2_UP.V1_DN,0.09772,ER+,False,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
ONCOGENIC_IL2_UP.V1_UP,0.89304,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_JAK2_DN.V1_DN,0.52752,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_JAK2_DN.V1_UP,0.46526000000000006,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_JNK_DN.V1_DN,0.8628600000000001,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_JNK_DN.V1_UP,0.70406,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.300_UP.V1_DN,0.00822,ER+,False,1.0,1.0,0.99,1.0,1.0,1.0,0.02,0.54,0.72,0.98,0.4,1.0,1.0
ONCOGENIC_KRAS.300_UP.V1_UP,0.2578,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.50_UP.V1_DN,0.00256,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.27,1.0,0.72,1.0,1.0
ONCOGENIC_KRAS.50_UP.V1_UP,0.8501700000000001,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.600.LUNG.BREAST_UP.V1_DN,0.43346,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.600.LUNG.BREAST_UP.V1_UP,0.02621,ER+,False,1.3846153846153846,0.1076923076923077,1.4,0.0,0.4307692307692308,0.6153846153846154,0.3692307692307692,0.9846153846153846,1.0,1.4153846153846157,1.5384615384615383,1.5076923076923077,0.3538461538461539
ONCOGENIC_KRAS.600_UP.V1_DN,0.01961,ER+,False,1.020408163265306,1.020408163265306,0.9591836734693876,1.020408163265306,1.020408163265306,1.020408163265306,0.0,0.020408163265306124,0.9285714285714286,0.9183673469387756,0.8877551020408163,1.020408163265306,1.020408163265306
ONCOGENIC_KRAS.600_UP.V1_UP,0.026189999999999998,ER+,False,1.1,0.5444444444444444,0.9666666666666668,1.0555555555555556,1.1,1.1111111111111112,0.22222222222222224,0.0,0.6222222222222222,1.0444444444444445,1.0444444444444445,1.1111111111111112,0.5222222222222221
ONCOGENIC_KRAS.AMP.LUNG_UP.V1_DN,0.1054,ER+,False,1.4285714285714286,0.0,0.7142857142857143,4.285714285714286,0.1904761904761905,1.380952380952381,0.09523809523809523,0.0,0.6666666666666667,4.238095238095238,0.0,3.0476190476190483,0.09523809523809523
ONCOGENIC_KRAS.AMP.LUNG_UP.V1_UP,0.3334,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_KRAS.BREAST_UP.V1_DN,0.69195,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.BREAST_UP.V1_UP,0.0005,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.DF.V1_DN,0.3223,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.DF.V1_UP,0.8661700000000001,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.KIDNEY_UP.V1_DN,0.14128,ER+,False,2.0,2.0,2.666666666666667,0.33333333333333337,3.333333333333333,3.666666666666667,0.0,0.6666666666666667,9.666666666666666,14.0,2.666666666666667,19.33333333333333,0.6666666666666667
ONCOGENIC_KRAS.KIDNEY_UP.V1_UP,0.63057,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.LUNG.BREAST_UP.V1_DN,0.0413,ER+,False,1.2465753424657535,1.3150684931506849,0.8904109589041096,1.3698630136986298,1.356164383561644,1.3698630136986298,0.0,0.0,0.589041095890411,1.178082191780822,0.3013698630136986,1.356164383561644,0.9315068493150686
ONCOGENIC_KRAS.LUNG.BREAST_UP.V1_UP,0.0038200000000000005,ER+,False,1.0,1.0,1.0,0.81,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.LUNG_UP.V1_DN,0.04091,ER+,False,1.6,1.6333333333333333,0.35,1.6666666666666667,1.2833333333333334,1.6666666666666667,0.0,0.0,0.4833333333333333,1.3,0.03333333333333333,1.6666666666666667,1.3333333333333337
ONCOGENIC_KRAS.LUNG_UP.V1_UP,0.2891,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_KRAS.PROSTATE_UP.V1_DN,0.28922,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.PROSTATE_UP.V1_UP,0.36477,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_LEF1_UP.V1_DN,0.3806,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_LEF1_UP.V1_UP,0.73,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_LTE2_UP.V1_DN,0.73132,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_LTE2_UP.V1_UP,0.11372,TNBC,False,0.0,0.7142857142857143,0.4285714285714285,8.428571428571429,0.0,0.0,8.714285714285714,4.857142857142857,0.0,13.0,0.0,2.2857142857142856,0.0
ONCOGENIC_MEK_UP.V1_DN,0.73493,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_MEK_UP.V1_UP,0.8269200000000001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_MEL18_DN.V1_DN,0.8304299999999999,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_MEL18_DN.V1_UP,0.6242300000000001,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
ONCOGENIC_MTOR_UP.N4.V1_DN,0.32302,TNBC,False,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_MTOR_UP.N4.V1_UP,0.07131,TNBC,False,0.6,0.36,0.04,1.72,0.28,1.92,3.92,1.0,0.0,3.64,0.0,2.08,0.04
ONCOGENIC_MTOR_UP.V1_DN,0.20945999999999998,TNBC,False,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_MTOR_UP.V1_UP,0.8230299999999999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_MYC_UP.V1_DN,0.30754000000000004,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
ONCOGENIC_MYC_UP.V1_UP,0.00078,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_NFE2L2.V2,0.23897,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_NOTCH_DN.V1_DN,0.22191999999999998,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
ONCOGENIC_NOTCH_DN.V1_UP,0.73288,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_NRL_DN.V1_DN,0.42153,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_NRL_DN.V1_UP,0.07782,TNBC,False,38.0,29.0,33.0,25.0,5.0,7.000000000000001,23.0,19.0,0.0,17.0,0.0,81.0,3.0
ONCOGENIC_P53_DN.V1_DN,0.73626,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_P53_DN.V1_UP,0.9388,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_P53_DN.V2_DN,0.02101,ER+,False,0.7105263157894737,0.3026315789473684,1.131578947368421,0.368421052631579,1.3157894736842106,1.3026315789473684,0.5263157894736842,0.02631578947368421,0.7894736842105263,1.276315789473684,1.3157894736842106,1.2894736842105263,0.4473684210526316
ONCOGENIC_P53_DN.V2_UP,0.62148,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PDGF_ERK_DN.V1_DN,0.09158999999999999,TNBC,False,1.7499999999999998,3.7,3.9,0.1,0.05,0.8999999999999999,4.45,3.3,0.0,2.65,0.0,3.15,3.55
ONCOGENIC_PDGF_ERK_DN.V1_UP,0.24356,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_PDGF_UP.V1_DN,0.54378,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PDGF_UP.V1_UP,0.7054600000000001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PIGF_UP.V1_DN,0.29346,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PIGF_UP.V1_UP,0.32315,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_PKCA_DN.V1_DN,0.34015,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PKCA_DN.V1_UP,0.29338000000000003,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_PRC1_BMI_UP.V1_DN,0.9974200000000001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PRC1_BMI_UP.V1_UP,0.61665,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_PRC2_EED_UP.V1_DN,0.16088,TNBC,False,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
ONCOGENIC_PRC2_EED_UP.V1_UP,0.8303200000000001,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PRC2_EZH2_UP.V1_DN,0.022680000000000002,TNBC,False,1.0101010101010102,1.0101010101010102,0.98989898989899,1.0101010101010102,0.9090909090909092,0.9393939393939394,1.0101010101010102,1.0101010101010102,0.21212121212121213,1.0101010101010102,0.19191919191919196,1.0101010101010102,1.0101010101010102
ONCOGENIC_PRC2_EZH2_UP.V1_UP,0.2659,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
ONCOGENIC_PRC2_SUZ12_UP.V1_DN,0.96916,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PRC2_SUZ12_UP.V1_UP,0.40087,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_PTEN_DN.V1_DN,0.86492,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PTEN_DN.V1_UP,0.97283,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PTEN_DN.V2_DN,0.22921999999999998,TNBC,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_PTEN_DN.V2_UP,0.0315,ER+,False,2.3947368421052637,1.9210526315789476,2.0,1.8684210526315788,2.3421052631578947,2.3947368421052637,0.0,0.0,2.6052631578947367,1.0789473684210529,1.131578947368421,2.6052631578947367,2.3947368421052637
ONCOGENIC_RAF_UP.V1_DN,0.85305,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_RAF_UP.V1_UP,0.41339,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RAPA_EARLY_UP.V1_DN,0.19887,TNBC,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_RAPA_EARLY_UP.V1_UP,0.33459,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_RB_DN.V1_DN,0.5422600000000001,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
ONCOGENIC_RB_DN.V1_UP,0.00595,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.61,1.0,1.0,1.0,1.0
ONCOGENIC_RB_P107_DN.V1_DN,0.37918,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RB_P107_DN.V1_UP,0.01227,TNBC,False,1.0,0.75,0.96,1.0,0.84,1.0,1.0,1.0,0.24,1.0,0.59,1.0,1.0
ONCOGENIC_RB_P130_DN.V1_DN,0.52076,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_RB_P130_DN.V1_UP,0.02775,TNBC,False,0.9090909090909092,0.20779220779220775,0.4285714285714286,0.6103896103896104,0.6103896103896104,0.3766233766233766,1.2987012987012987,1.2987012987012987,0.10389610389610388,1.2987012987012987,0.12987012987012989,1.2337662337662336,0.18181818181818185
ONCOGENIC_RELA_DN.V1_DN,0.02344,ER+,False,1.0315789473684212,1.0105263157894735,0.9473684210526316,0.8105263157894738,0.5684210526315789,0.8210526315789475,0.5368421052631579,0.15789473684210525,0.7894736842105263,1.0421052631578949,1.0210526315789474,1.0105263157894735,0.9789473684210528
ONCOGENIC_RELA_DN.V1_UP,0.4221,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_RPS14_DN.V1_DN,0.02305,TNBC,False,1.1884057971014492,1.2318840579710146,0.7826086956521741,1.115942028985507,1.0,1.3333333333333337,1.4492753623188408,1.4347826086956523,0.0,1.3043478260869568,0.0,1.4492753623188408,0.7536231884057972
ONCOGENIC_RPS14_DN.V1_UP,0.67542,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_SINGH_KRAS_DEPENDENCY_SIGNATURE,0.38641,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_SIRNA_EIF4GI_DN,0.011179999999999999,TNBC,False,1.0,1.0,0.95,1.0,0.9,1.0,1.0,1.0,0.25,1.0,0.95,1.0,0.84
ONCOGENIC_SIRNA_EIF4GI_UP,0.18342999999999998,TNBC,False,0.0,0.0,0.0,0.0,0.0,0.0,46.0,15.0,0.0,46.99999999999999,0.0,12.5,0.0
ONCOGENIC_SNF5_DN.V1_DN,0.93114,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_SNF5_DN.V1_UP,0.014169999999999999,TNBC,False,1.0,0.54,0.67,1.0,0.87,0.99,1.0,1.0,0.24,1.0,0.71,0.99,0.63
ONCOGENIC_SRC_UP.V1_DN,0.73329,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_SRC_UP.V1_UP,0.09135,TNBC,False,4.125,0.375,4.375,1.375,2.125,3.625,0.375,0.125,0.125,4.375,0.0,9.375,1.125
ONCOGENIC_STK33_DN,0.20589000000000002,TNBC,False,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_STK33_NOMO_DN,0.25114000000000003,TNBC,False,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_STK33_NOMO_UP,0.46741000000000005,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_STK33_SKM_DN,0.44033999999999995,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_STK33_SKM_UP,0.84705,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_STK33_UP,0.57909,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_TBK1.DF_DN,0.15375999999999998,TNBC,False,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_TBK1.DF_UP,0.7098399999999999,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
ONCOGENIC_TBK1.DN.48HRS_DN,0.8222,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_TBK1.DN.48HRS_UP,0.37768,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_TGFB_UP.V1_DN,0.8247899999999999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_TGFB_UP.V1_UP,0.35307,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
ONCOGENIC_VEGF_A_UP.V1_DN,0.06062000000000001,TNBC,False,2.3142857142857145,0.6285714285714287,0.5142857142857143,1.0,0.14285714285714288,0.942857142857143,2.2857142857142865,0.8000000000000002,0.05714285714285715,2.4285714285714293,0.0,2.0571428571428574,0.7142857142857143
ONCOGENIC_VEGF_A_UP.V1_UP,0.6250899999999999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_WNT_UP.V1_DN,0.34954,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_WNT_UP.V1_UP,0.11274,ER+,False,0.625,0.6875,0.0625,0.0,2.5,4.1875,0.1875,0.0625,2.625,4.3125,6.0625,4.9375,0.3125
ONCOGENIC_YAP1_DN,0.38941,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_YAP1_UP,0.17314000000000002,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
